iter	Passed	Remaining
407	4347	6308
408	4357	6296
409	4368	6286
410	4377	6272
411	4386	6260
412	4395	6246
413	4405	6235
414	4417	6226
415	4427	6215
416	4436	6202
417	4445	6189
418	4453	6175
419	4461	6161
420	4470	6147
421	4479	6135
422	4488	6122
423	4496	6108
424	4504	6093
425	4513	6081
426	4521	6066
427	4529	6054
428	4537	6039
429	4545	6025
430	4552	6010
431	4560	5996
432	4568	5982
433	4578	5970
434	4585	5956
435	4595	5944
436	4602	5929
437	4612	5918
438	4620	5904
439	4629	5891
440	4637	5878
441	4645	5864
442	4653	5851
443	4661	5837
444	4669	5824
445	4678	5811
446	4687	5799
447	4695	5785
448	4703	5771
449	4711	5758
450	4719	5745
451	4727	5732
452	4737	5720
453	4746	5708
454	4757	5699
455	4768	5688
456	4779	5679
457	4789	5668
458	4798	5655
459	4807	5643
460	4816	5630
461	4823	5617
462	4833	5606
463	4842	5594
464	4852	5582
465	4859	5568
466	4868	5557
467	4877	5544
468	4885	5531
469	4893	5518
470	4901	5505
471	4909	5491
472	4917	5478
473	4925	5465
474	4934	5453
475	4943	5441
476	4950	5428
477	4959	5416
478	4967	5402
479	4977	5392
480	4986	5380
481	4995	5368
482	5003	5355
483	5011	5343
484	5019	5329
485	5028	5317
486	5035	5304
487	5044	5292
488	5052	5279
489	5061	5267
490	5069	5255
491	5078	5243
492	5087	5231
493	5095	5219
494	5103	5206
495	5112	5194
496	5120	5181
497	5128	5169
498	5136	5156
499	5144	5144
500	5151	5130
501	5160	5119
502	5169	5108
503	5177	5095
504	5186	5083
505	5194	5071
506	5203	5059
507	5211	5047
508	5219	5035
509	5229	5024
510	5244	5019
511	5256	5010
512	5270	5003
513	5280	4992
514	5291	4983
515	5303	4974
516	5311	4961
517	5320	4951
518	5328	4938
519	5337	4926
520	5345	4914
521	5353	4902
522	5361	4890
523	5371	4879
524	5379	4867
525	5388	4855
526	5396	4843
527	5405	4831
528	5413	4819
529	5421	4808
530	5430	4796
531	5437	4783
532	5446	4772
533	5454	4760
534	5463	4748
535	5472	4737
536	5480	4725
537	5488	4712
538	5498	4702
539	5508	4692
540	5517	4680
541	5524	4668
542	5533	4656
543	5540	4644
544	5549	4632
545	5557	4620
546	5565	4608
547	5572	4596
548	5580	4584
549	5589	4572
550	5597	4561
551	5605	4549
552	5614	4538
553	5625	4529
554	5635	4518
555	5644	4507
556	5651	4494
557	5660	4483
558	5669	4472
559	5677	4460
560	5685	4448
561	5693	4437
562	5700	4424
563	5710	4414
564	5719	4403
565	5727	4391
566	5735	4380
567	5742	4367
568	5751	4356
569	5759	4344
570	5767	4333
571	5776	4322
572	5785	4311
573	5792	4299
574	5800	4287
575	5809	4276
576	5817	4265
577	5825	4252
578	5833	4241
579	5841	4229
580	5849	4218
581	5856	4206
582	5864	4194
583	5871	4182
584	5878	4170
585	5886	4158
586	5893	4146
587	5902	4135
588	5910	4124
589	5919	4113
590	5927	4102
591	5935	4090
592	5942	4078
593	5953	4069
594	5965	4060
595	5972	4048
596	5981	4037
597	5987	4025
598	5996	4014
599	6002	4001
600	6010	3990
601	6018	3978
602	6025	3967
603	6032	3955
604	6039	3942
605	6048	3932
606	6056	3921
607	6071	3914
608	6085	3907
609	6093	3895
610	6099	3883
611	6107	3872
612	6114	3860
613	6122	3848
614	6129	3837
615	6137	3825
616	6145	3814
617	6153	3803
618	6161	3792
619	6168	3780
620	6175	3769
621	6183	3757
622	6195	3748
623	6204	3738
624	6213	3727
625	6223	3718
626	6232	3707
627	6241	3697
628	6249	3686
629	6257	3674
630	6266	3664
631	6273	3653
632	6280	3641
633	6288	3630
634	6296	3619
635	6303	3607
636	6311	3596
637	6319	3585
638	6327	3574
639	6335	3563
640	6341	3551
641	6349	3540
642	6356	3529
643	6364	3518
644	6371	3506
645	6379	3496
646	6387	3484
647	6394	3473
648	6402	3462
649	6409	3451
650	6417	3440
651	6425	3429
652	6432	3418
653	6439	3406
654	6448	3396
655	6456	3385
656	6465	3375
657	6474	3364
658	6481	3353
659	6487	3342
660	6496	3331
661	6503	3320
662	6511	3309
663	6519	3298
664	6528	3288
665	6535	3277
666	6543	3266
667	6551	3255
668	6560	3245
669	6567	3234
670	6575	3223
671	6583	3213
672	6593	3203
673	6600	3192
674	6608	3181
675	6615	3170
676	6628	3162
677	6635	3151
678	6643	3140
679	6649	3129
680	6658	3119
681	6665	3108
682	6677	3099
683	6688	3089
684	6697	3079
685	6708	3070
686	6718	3060
687	6726	3050
688	6737	3040
689	6747	3031
690	6756	3021
691	6764	3011
692	6772	3000
693	6781	2990
694	6789	2979
695	6798	2969
696	6805	2958
697	6813	2947
698	6821	2937
699	6828	2926
700	6836	2916
701	6844	2905
702	6852	2895
703	6860	2884
704	6869	2874
705	6876	2863
706	6885	2853
707	6892	2842
708	6900	2832
709	6906	2821
710	6915	2810
711	6922	2800
712	6931	2790
713	6938	2779
714	6947	2769
715	6955	2759
716	6963	2748
717	6971	2737
718	6978	2727
719	6986	2716
720	6995	2707
721	7002	2696
722	7011	2686
723	7018	2675
724	7026	2665
725	7033	2654
726	7041	2644
727	7049	2634
728	7057	2623
729	7065	2613
730	7073	2602
731	7080	2592
732	7088	2582
733	7095	2571
734	7102	2560
735	7110	2550
736	7117	2539
737	7125	2529
738	7131	2518
739	7140	2508
740	7148	2498
741	7156	2488
742	7163	2477
743	7172	2467
744	7178	2457
745	7187	2447
746	7193	2436
747	7201	2426
748	7208	2415
749	7215	2405
750	7222	2394
751	7232	2385
752	7242	2375
753	7253	2366
754	7262	2356
755	7271	2347
756	7280	2337
757	7288	2326
758	7297	2317
759	7305	2306
760	7313	2297
761	7323	2287
762	7333	2277
763	7341	2267
764	7351	2258
765	7359	2248
766	7367	2238
767	7375	2227
768	7383	2217
769	7391	2207
770	7402	2198
771	7410	2188
772	7419	2178
773	7429	2169
774	7438	2159
775	7447	2149
776	7455	2139
777	7464	2129
778	7471	2119
779	7479	2109
780	7486	2099
781	7495	2089
782	7501	2079
783	7509	2069
784	7516	2058
785	7524	2048
786	7531	2038
787	7537	2027
788	7546	2018
789	7555	2008
790	7564	1998
791	7573	1989
792	7580	1978
793	7587	1968
794	7595	1958
795	7602	1948
796	7610	1938
797	7617	1928
798	7626	1918
799	7633	1908
800	7641	1898
801	7650	1888
802	7664	1880
803	7675	1871
804	7683	1861
805	7692	1851
806	7699	1841
807	7709	1831
808	7717	1822
809	7724	1812
810	7731	1801
811	7739	1792
812	7747	1781
813	7756	1772
814	7763	1762
815	7772	1752
816	7779	1742
817	7787	1732
818	7794	1722
819	7803	1712
820	7810	1702
821	7818	1693
822	7826	1683
823	7835	1673
824	7843	1663
825	7852	1654
826	7860	1644
827	7869	1634
828	7876	1624
829	7884	1614
830	7891	1604
831	7900	1595
832	7908	1585
833	7917	1575
834	7924	1565
835	7931	1556
836	7939	1546
837	7948	1536
838	7955	1526
839	7963	1516
840	7971	1507
841	7980	1497
