iter	MultiClass
0	0.9775380234
1	0.8780514668
2	0.7955870531
3	0.726447132
4	0.6667685146
5	0.6142008124
6	0.5692725302
7	0.527895998
8	0.493865483
9	0.4621079253
10	0.4332323285
11	0.4062129359
12	0.3849477163
13	0.3625523044
14	0.341780136
15	0.3240795762
16	0.306828826
17	0.291317187
18	0.2767321307
19	0.2633563671
20	0.2514955249
21	0.2406461361
22	0.2298910682
23	0.2200411294
24	0.211376008
25	0.203525951
26	0.1953469079
27	0.1881706152
28	0.1815043368
29	0.1749747272
30	0.1688636998
31	0.1631670206
32	0.1584581626
33	0.1530493106
34	0.1480768493
35	0.1442820797
36	0.140646084
37	0.1369989885
38	0.1334381364
39	0.1305810385
40	0.1275135461
41	0.1245198324
42	0.122136816
43	0.1190773086
44	0.1167185911
45	0.1143409393
46	0.1120330406
47	0.1095926151
48	0.1075727471
49	0.1057033594
50	0.1036406044
51	0.1021752135
52	0.100395882
53	0.0984401951
54	0.09666222241
55	0.09510717587
56	0.09408335627
57	0.09222084491
58	0.09052396526
59	0.08917476977
60	0.08764778852
61	0.0862791421
62	0.08503002336
63	0.08416050829
64	0.08305697724
65	0.08220215655
66	0.08133525446
67	0.08003339529
68	0.07919963379
69	0.07838259041
70	0.07719905176
71	0.07622271316
72	0.07533127546
73	0.07460802345
74	0.07352785921
75	0.07260217397
76	0.0719004735
77	0.07057529546
78	0.06964101997
79	0.06878879475
80	0.06810706264
81	0.06749298265
82	0.06653530548
83	0.06571293482
84	0.06507489399
85	0.06439827996
86	0.0635967663
87	0.06294873953
88	0.06244530704
89	0.06176198507
90	0.0610732593
91	0.06028857799
92	0.05948283355
93	0.05881082662
94	0.05838283572
95	0.05767909305
96	0.05723731969
97	0.05679712386
98	0.05632523294
99	0.05574346662
100	0.05533955
101	0.05491372946
102	0.05429201361
103	0.05377584859
104	0.05339424076
105	0.05293817547
106	0.05256954106
107	0.05210193238
108	0.05169312657
109	0.05128535296
110	0.05090406985
111	0.0506002935
112	0.05014488961
113	0.04966379192
114	0.04927092709
115	0.04881501223
116	0.04850849237
117	0.04812437783
118	0.04769460832
119	0.04736392055
120	0.04698568917
121	0.04670708824
122	0.04628425536
123	0.04592821095
124	0.04570101745
125	0.0453644299
126	0.04507805212
127	0.04476088874
128	0.04439596439
129	0.04386613626
130	0.04365421921
131	0.04340057905
132	0.04307300759
133	0.04264555896
134	0.04231770623
135	0.04206579708
136	0.04184828686
137	0.04142512617
138	0.04111500678
139	0.04072105158
140	0.04038248718
141	0.04010779915
142	0.03980272731
143	0.039476584
144	0.03922975262
145	0.03888233572
146	0.03860238542
147	0.03821950216
148	0.03803103317
149	0.03774000608
150	0.03745465624
151	0.03725532234
152	0.03709290075
153	0.03682245531
154	0.0366660522
155	0.0364588301
156	0.03620509277
157	0.0359373514
158	0.03563822795
159	0.03540185521
160	0.03526319467
161	0.03501911781
162	0.03482168293
163	0.03462298076
164	0.03443561638
165	0.0343492002
166	0.03414017735
167	0.03399681728
168	0.03368091986
169	0.0335224094
170	0.03329744652
171	0.03306747326
172	0.03286098078
173	0.03269042751
174	0.03254095937
175	0.03237235376
176	0.03219744609
177	0.03203085788
178	0.03178398262
179	0.03165331258
180	0.03145677635
181	0.03125056752
182	0.03104806355
183	0.03089400219
184	0.03076340827
185	0.03061101032
186	0.03039299269
187	0.0302794105
188	0.03020333148
189	0.03005558078
190	0.02995717157
191	0.02980222878
192	0.02957889198
193	0.02937719091
194	0.02923435538
195	0.0291531223
196	0.02904873338
197	0.0288914158
198	0.02867815292
199	0.02849077906
200	0.02839533588
201	0.02828186973
202	0.02811565913
203	0.02801838958
204	0.02788608114
205	0.02774907523
206	0.02755817268
207	0.02746475817
208	0.02733208259
209	0.027243307
210	0.02717200531
211	0.02700081638
212	0.02681484303
213	0.02671527908
214	0.02661381952
215	0.02651081635
216	0.02643513923
217	0.02633264902
218	0.02619598545
219	0.02606879965
220	0.02600425152
221	0.02588861906
222	0.02575888108
223	0.02565635658
224	0.02550062612
225	0.02538925885
226	0.02523797506
227	0.0251332472
228	0.02503533547
229	0.02489721273
230	0.02475805411
231	0.02463664826
232	0.02449718814
233	0.02436395745
234	0.02428925463
235	0.0241645944
236	0.02404242885
237	0.02392819151
238	0.0237555094
239	0.02355511265
240	0.02343638715
241	0.02331833413
242	0.02319562796
243	0.0230968833
244	0.02300308546
245	0.02289724379
246	0.0227565509
247	0.02262687513
248	0.02254066341
249	0.02247290564
250	0.02243884967
251	0.02232398048
252	0.02223942059
253	0.02212459833
254	0.0220195715
255	0.0219343225
256	0.02184550077
257	0.02178989994
258	0.02169937423
259	0.02161062488
260	0.02154145572
261	0.02146656565
262	0.02136675201
263	0.02132651321
264	0.0212247981
265	0.02115495074
266	0.02106688383
267	0.02095479869
268	0.02084217708
269	0.02076053718
270	0.02065667274
271	0.02054759417
272	0.02044864603
273	0.02040228935
274	0.02030737602
275	0.02024458181
276	0.0201699405
277	0.02008686073
278	0.02004217497
279	0.01999979613
280	0.01990593989
281	0.01986155634
282	0.01977206237
283	0.01969479012
284	0.01962804689
285	0.01958748473
286	0.01950896522
287	0.01940884484
288	0.01932811735
289	0.01922651635
290	0.01915185983
291	0.01909853244
292	0.01904378352
293	0.01898209956
294	0.01892043133
295	0.01886493462
296	0.01884243371
297	0.01878426653
298	0.01873530444
299	0.01869373579
300	0.01863914133
301	0.01860657672
302	0.01854929067
303	0.01850159454
304	0.01842679931
305	0.01835133166
306	0.01829720128
307	0.01822020435
308	0.01812879779
309	0.01803148892
310	0.01798865667
311	0.01792503489
312	0.01782979351
313	0.01774937219
314	0.01768439003
315	0.01760299832
316	0.01755064923
317	0.01745065349
318	0.01736172659
319	0.01727367449
320	0.0172190303
321	0.01715648629
322	0.01707743311
323	0.01700823132
324	0.0169496075
325	0.01687804757
326	0.01682253358
327	0.0167633293
328	0.01671377352
329	0.01668685606
330	0.01663222539
331	0.01659093289
332	0.01653045277
333	0.01648947927
334	0.01639222611
335	0.01635178318
336	0.01629247054
337	0.01624743307
338	0.01617326912
339	0.0161377162
340	0.01605472102
341	0.01601849175
342	0.01595218125
343	0.01587658352
344	0.01583495282
345	0.0157975011
346	0.01572942579
347	0.01568548689
348	0.01560294182
349	0.01558429363
350	0.01551405034
351	0.01548402734
352	0.01541707899
353	0.01538108023
354	0.01532072197
355	0.01528827699
356	0.0152506758
357	0.01520748905
358	0.01517264601
359	0.01512105422
360	0.01508756654
361	0.01506163795
362	0.01500535022
363	0.01496047554
364	0.01490458142
365	0.01484472569
366	0.01480790784
367	0.01475887178
368	0.01471846048
369	0.01467491669
370	0.01464396373
371	0.01460214729
372	0.01458696158
373	0.0145442304
374	0.01451715298
375	0.01447938764
376	0.01445438083
377	0.01439949498
378	0.01433262964
379	0.01429317171
380	0.01426855306
381	0.01422126751
382	0.01417860116
383	0.01415439295
384	0.01410765115
385	0.01406623277
386	0.01403837035
387	0.01398501147
388	0.01395065759
389	0.01390583995
390	0.01385952729
391	0.01382019572
392	0.01377259146
393	0.01371735112
394	0.01367701406
395	0.01364413684
396	0.01360760746
397	0.01356580886
398	0.0135373617
399	0.01350943775
400	0.01346485078
401	0.01343176999
402	0.01340192877
403	0.0133571464
404	0.01331863198
405	0.01330511059
406	0.01323946586
407	0.01321444603
408	0.01316461635
409	0.01315257022
410	0.01309810037
411	0.01305023242
412	0.01300177022
413	0.01295474854
414	0.01290669658
415	0.01286487893
416	0.01283439334
417	0.01281051047
418	0.0127712811
419	0.01274989103
420	0.01271043801
421	0.0126736086
422	0.01263450231
423	0.01259511248
424	0.01254514149
425	0.0125102589
426	0.01248831996
427	0.01246628085
428	0.01242635233
429	0.0124059204
430	0.01238462794
431	0.01236740171
432	0.01231440857
433	0.01227941506
